DiseaseName,DiseaseID,DrugBankID,DrugName
Otitis Media,MESH:D010033,DB05659,Faropenem medoxomil
Hearing Loss,MESH:D034381,DB05660,D-JNKI-1
Infections,MESH:D007239,DB05662,NP-50301
Infections,MESH:D007239,DB05667,Levoketoconazole
Lymphoma,MESH:D008223,DB05668,Palifosfamide
Coma,MESH:D003128,DB05668,Palifosfamide
Sarcoma,MESH:D012509,DB05668,Palifosfamide
Disease,MESH:D004194,DB05671,AC-100
Infections,MESH:D007239,DB05672,OP-145
Disease,MESH:D004194,DB05673,NV-52
Thrombosis,MESH:D013927,DB05675,EP-2104R
Psoriasis,MESH:D011565,DB05676,Apremilast
Arthritis,MESH:D001168,DB05676,Apremilast
Ulcer,MESH:D014456,DB05676,Apremilast
Oral Ulcer,MESH:D019226,DB05676,Apremilast
Disease,MESH:D004194,DB05676,Apremilast
Colitis,MESH:D003092,DB05679,Ustekinumab
Psoriasis,MESH:D011565,DB05679,Ustekinumab
Arthritis,MESH:D001168,DB05679,Ustekinumab
Ulcer,MESH:D014456,DB05679,Ustekinumab
Disease,MESH:D004194,DB05679,Ustekinumab
Keratosis,MESH:D007642,DB05680,Sotirimod
Infections,MESH:D007239,DB05680,Sotirimod
Ischemia,MESH:D007511,DB05683,Iodofiltic acid I-123
Reperfusion Injury,MESH:D015427,DB05685,FX06
Myocardial Infarction,MESH:D009203,DB05685,FX06
Infarction,MESH:D007238,DB05685,FX06
Schizophrenia,MESH:D012559,DB05687,BL-1020
Arthritis,MESH:D001168,DB05688,CRx-119
Disease,MESH:D004194,DB05688,CRx-119
Osteoporosis,MESH:D010024,DB05695,NPS-2143
Melanoma,MESH:D008545,DB05697,Trabedersen
Amyotrophic Lateral Sclerosis,MESH:D000690,DB05705,ALS-08
Sclerosis,MESH:D012598,DB05705,ALS-08
Schizophrenia,MESH:D012559,DB05708,GTS-21
Disease,MESH:D004194,DB05708,GTS-21
Thrombosis,MESH:D013927,DB05712,AZD-9684
Thrombosis,MESH:D013927,DB05713,LY-517717
Thromboembolism,MESH:D013923,DB05713,LY-517717
Venous Thromboembolism,MESH:D054556,DB05713,LY-517717
Embolism,MESH:D004617,DB05713,LY-517717
Thrombosis,MESH:D013927,DB05714,Flovagatran
Infections,MESH:D007239,DB05716,ICX-RHY
Melanoma,MESH:D008545,DB05719,Elesclomol
Macular Degeneration,MESH:D008268,DB05722,CGC-11047
Lymphoma,MESH:D008223,DB05722,CGC-11047
Pain,MESH:D010146,DB05724,alpha-Conotoxin VC 1.1
Coronary Artery Disease,MESH:D003324,DB05726,AVI-5126
Disease,MESH:D004194,DB05726,AVI-5126
Psoriasis,MESH:D011565,DB05727,ASF-1075
Infections,MESH:D007239,DB05727,ASF-1075
Tic Disorders,MESH:D013981,DB05727,ASF-1075
Arthritis,MESH:D001168,DB05730,PMI-001
Osteoporosis,MESH:D010024,DB05732,Strontium malonate
Infections,MESH:D007239,DB05735,Cefilavancin
Bacterial Infections,MESH:D001424,DB05735,Cefilavancin
Osteoporosis,MESH:D010024,DB05736,MIV-701
Atherosclerosis,MESH:D050197,DB05737,Varespladib methyl
Coronary Artery Disease,MESH:D003324,DB05737,Varespladib methyl
Disease,MESH:D004194,DB05737,Varespladib methyl
Sclerosis,MESH:D012598,DB05737,Varespladib methyl
Dermatitis,MESH:D003872,DB05738,Vapitadine
Hypertension,MESH:D006973,DB05739,CYT006-AngQb
Pain,MESH:D010146,DB05740,RPI-78M
Multiple Sclerosis,MESH:D009103,DB05740,RPI-78M
Sclerosis,MESH:D012598,DB05740,RPI-78M
Leukemia,MESH:D007938,DB05741,AGS-005
Arthritis,MESH:D001168,DB05744,CRx-139
Hypertension,MESH:D006973,DB05746,PF-03187207
Glaucoma,MESH:D005901,DB05746,PF-03187207
Coma,MESH:D003128,DB05746,PF-03187207
Ocular Hypertension,MESH:D009798,DB05746,PF-03187207
Obesity,MESH:D009765,DB05750,Drinabant
Schizophrenia,MESH:D012559,DB05750,Drinabant
Disease,MESH:D004194,DB05750,Drinabant
Asthma,MESH:D001249,DB05751,RP01
Disease,MESH:D004194,DB05752,ALKS 27
Hepatitis,MESH:D006505,DB05754,IPH 1101
Leukemia,MESH:D007938,DB05754,IPH 1101
Lymphoma,MESH:D008223,DB05754,IPH 1101
Dermatitis,MESH:D003872,DB05755,BF-37
Candidiasis,MESH:D002177,DB05756,PAC-113
Infections,MESH:D007239,DB05756,PAC-113
Hypertension,MESH:D006973,DB05757,DNB-001
Ocular Hypertension,MESH:D009798,DB05757,DNB-001
Psoriasis,MESH:D011565,DB05758,CYT007-TNFQb
Tic Disorders,MESH:D013981,DB05758,CYT007-TNFQb
Keratosis,MESH:D007642,DB05765,ATX-201
Schizophrenia,MESH:D012559,DB05766,Norclozapine
Colitis,MESH:D003092,DB05767,Andrographolide
Ulcer,MESH:D014456,DB05767,Andrographolide
Colitis,MESH:D003092,DB05768,Alkaline Phosphatase
Ulcer,MESH:D014456,DB05768,Alkaline Phosphatase
Psoriasis,MESH:D011565,DB05771,LLL-3348
Tic Disorders,MESH:D013981,DB05771,LLL-3348
Arthritis,MESH:D001168,DB05772,Rabeximod
Disease,MESH:D004194,DB05773,Trastuzumab emtansine
Diabetes Mellitus,MESH:D003920,DB05775,CRx-401
Hepatitis,MESH:D006505,DB05776,IC41
Sepsis,MESH:D018805,DB05777,Thrombomodulin Alfa
Thrombosis,MESH:D013927,DB05777,Thrombomodulin Alfa
Infections,MESH:D007239,DB05778,Col-118
Hepatitis,MESH:D006505,DB05779,Oglufanide
Coma,MESH:D003128,DB05786,Irofulven
Sarcoma,MESH:D012509,DB05786,Irofulven
Melanoma,MESH:D008545,DB05787,LM-609
Psoriasis,MESH:D011565,DB05787,LM-609
Arthritis,MESH:D001168,DB05787,LM-609
Tic Disorders,MESH:D013981,DB05787,LM-609
Asthma,MESH:D001249,DB05790,SR 140333
Disease,MESH:D004194,DB05790,SR 140333
Hemorrhage,MESH:D006470,DB05791,Perflubron
Infections,MESH:D007239,DB05793,PRO-542
Heart Failure,MESH:D006333,DB05794,Serelaxin
Infertility,MESH:D007246,DB05794,Serelaxin
Disease,MESH:D004194,DB05794,Serelaxin
Hypertension,MESH:D006973,DB05796,Daglutril
Heart Failure,MESH:D006333,DB05796,Daglutril
Sepsis,MESH:D018805,DB05799,NOX-100
Multiple Myeloma,MESH:D009101,DB05800,Alethine
Lymphoma,MESH:D008223,DB05800,Alethine
Carcinoma,MESH:D002277,DB05801,GTI 2040
Leukemia,MESH:D007938,DB05801,GTI 2040
C SYNDROME,OMIM:211750,DB05801,GTI 2040
Hepatitis,MESH:D006505,DB05803,ISIS 14803
Asthma,MESH:D001249,DB05804,Prasterone sulfate
Infections,MESH:D007239,DB05804,Prasterone sulfate
Burns,MESH:D002056,DB05804,Prasterone sulfate
Melanoma,MESH:D008545,DB05806,Cositecan
Carcinoma,MESH:D002277,DB05808,Muparfostat
Melanoma,MESH:D008545,DB05808,Muparfostat
Multiple Myeloma,MESH:D009101,DB05808,Muparfostat
Myocardial Infarction,MESH:D009203,DB05810,99mTc-glucarate
Infarction,MESH:D007238,DB05810,99mTc-glucarate
Disease,MESH:D004194,DB05812,Abiraterone
Erectile Dysfunction,MESH:D007172,DB05814,GPI-1485
Disease,MESH:D004194,DB05814,GPI-1485
Leukemia,MESH:D007938,DB05817,Laromustine
C SYNDROME,OMIM:211750,DB05817,Laromustine
Diabetes Mellitus,MESH:D003920,DB05819,NBI-6024
Stroke,MESH:D020521,DB05820,DP-b99
Brain Injuries,MESH:D001930,DB05820,DP-b99
Epilepsy,MESH:D004827,DB05821,DP-VPA
Bipolar Disorder,MESH:D001714,DB05821,DP-VPA
Headache,MESH:D006261,DB05821,DP-VPA
Pain,MESH:D010146,DB05824,CNS-5161
Headache,MESH:D006261,DB05824,CNS-5161
Pain,MESH:D010146,DB05825,NCX 1015
Arthritis,MESH:D001168,DB05825,NCX 1015
Disease,MESH:D004194,DB05825,NCX 1015
Infertility,MESH:D007246,DB05826,Prolease-r-hFSH
Schizophrenia,MESH:D012559,DB05828,LU-31130
Osteoporosis,MESH:D010024,DB05829,Parathyroid hormone
Disease,MESH:D004194,DB05832,PPI-1019
Anemia,MESH:D000740,DB05835,NS-3728
Pneumonia,MESH:D011014,DB05839,BG-777
Retinitis,MESH:D012173,DB05839,BG-777
Asthma,MESH:D001249,DB05841,AI-128
Hypertension,MESH:D006973,DB05843,trans NV-04
Infections,MESH:D007239,DB05845,NV-07a
Disease,MESH:D004194,DB05846,Mito-4509
Autoimmune Diseases,MESH:D001327,DB05848,humanized SMART Anti-IL-12 Antibody
Disease,MESH:D004194,DB05848,humanized SMART Anti-IL-12 Antibody
Asthma,MESH:D001249,DB05849,NCX 950
Disease,MESH:D004194,DB05849,NCX 950
Carcinoma,MESH:D002277,DB05851,Biomed 101
Disease,MESH:D004194,DB05852,cryopreserved human liver cells
Diabetes Mellitus,MESH:D003920,DB05854,CLX-0921
Colitis,MESH:D003092,DB05855,Rivanicline
Ulcer,MESH:D014456,DB05855,Rivanicline
Disease,MESH:D004194,DB05856,CPD 923
Hepatitis,MESH:D006505,DB05860,Peginterferon alfacon-1
Autoimmune Diseases,MESH:D001327,DB05863,TRX1
Disease,MESH:D004194,DB05863,TRX1
Lymphoma,MESH:D008223,DB05864,PPI-2458
Diabetic Retinopathy,MESH:D003930,DB05865,VIT-100
Hemorrhage,MESH:D006470,DB05865,VIT-100
Hepatitis,MESH:D006505,DB05868,Ciluprevir
Reperfusion Injury,MESH:D015427,DB05869,Ethyl pyruvate
Sepsis,MESH:D018805,DB05869,Ethyl pyruvate
Infections,MESH:D007239,DB05869,Ethyl pyruvate
Burns,MESH:D002056,DB05869,Ethyl pyruvate
Disease,MESH:D004194,DB05873,AVI-4020
Amyotrophic Lateral Sclerosis,MESH:D000690,DB05874,AEOL-10150
Sclerosis,MESH:D012598,DB05874,AEOL-10150
Respiratory Distress Syndrome,MESH:D012128,DB05875,"Sar9, Met (O2)11-Substance P"
Arthritis,MESH:D001168,DB05879,AME-527
Disease,MESH:D004194,DB05881,Etazolate
Osteoporosis,MESH:D010024,DB05882,CHF 4227
Hepatitis,MESH:D006505,DB05884,HCV-086
Epilepsy,MESH:D004827,DB05885,Seletracetam
Disease,MESH:D004194,DB05888,MEM 1414
Leukemia,MESH:D007938,DB05889,Inotuzumab ozogamicin
Pain,MESH:D010146,DB05892,RI 624
Obesity,MESH:D009765,DB05894,GT 389-255
Macular Degeneration,MESH:D008268,DB05896,Sirna-027
Disease,MESH:D004194,DB05898,CERE-110
Hepatitis,MESH:D006505,DB05904,BLX-883
Gastrointestinal Diseases,MESH:D005767,DB05905,TD-2749
Paresis,MESH:D010291,DB05905,TD-2749
Intestinal Diseases,MESH:D007410,DB05905,TD-2749
Disease,MESH:D004194,DB05905,TD-2749
Constipation,MESH:D003248,DB05905,TD-2749
Gastroparesis,MESH:D018589,DB05905,TD-2749
Irritable Bowel Syndrome,MESH:D043183,DB05905,TD-2749
Atherosclerosis,MESH:D050197,DB05911,RUS 3108
Sclerosis,MESH:D012598,DB05911,RUS 3108
Multiple Sclerosis,MESH:D009103,DB05912,REN-850
Sclerosis,MESH:D012598,DB05912,REN-850
Macular Degeneration,MESH:D008268,DB05918,LS11
Disease,MESH:D004194,DB05924,NLX-P101
Multiple Myeloma,MESH:D009101,DB05928,Dovitinib
Neuroblastoma,MESH:D009447,DB05929,GPI-0100
Melanoma,MESH:D008545,DB05929,GPI-0100
Leukemia,MESH:D007938,DB05929,GPI-0100
Thrombocytopenia,MESH:D013921,DB05930,SB-559448
Macular Degeneration,MESH:D008268,DB05931,Pegdinetanib
Vascular Diseases,MESH:D014652,DB05934,CTCE-0214
Disease,MESH:D004194,DB05934,CTCE-0214
Melanoma,MESH:D008545,DB05935,IL-2 pDNA
Asthma,MESH:D001249,DB05936,CVT-6883
Disease,MESH:D004194,DB05938,Edonerpic
Atherosclerosis,MESH:D050197,DB05939,MK-0354
Sclerosis,MESH:D012598,DB05939,MK-0354
Hepatitis,MESH:D006505,DB05942,GI-5005
Sepsis,MESH:D018805,DB05943,Resatorvid
Gastroesophageal Reflux,MESH:D005764,DB05946,KOS-2187
Gastrointestinal Diseases,MESH:D005767,DB05946,KOS-2187
Intestinal Diseases,MESH:D007410,DB05946,KOS-2187
Disease,MESH:D004194,DB05946,KOS-2187
Autoimmune Diseases,MESH:D001327,DB05947,PRTX-100
Thrombocytopenia,MESH:D013921,DB05947,PRTX-100
Arthritis,MESH:D001168,DB05947,PRTX-100
Disease,MESH:D004194,DB05947,PRTX-100
Pain,MESH:D010146,DB05950,Contulakin-G
Psoriasis,MESH:D011565,DB05951,CRA-028129
Tic Disorders,MESH:D013981,DB05951,CRA-028129
Pain,MESH:D010146,DB05956,EVT-101
Disease,MESH:D004194,DB05956,EVT-101
Asthma,MESH:D001249,DB05958,SYN-101
Multiple Myeloma,MESH:D009101,DB05969,SNS-032
Leukemia,MESH:D007938,DB05969,SNS-032
Lymphoma,MESH:D008223,DB05969,SNS-032
Diabetes Mellitus,MESH:D003920,DB05970,LY-2599506
Gastrointestinal Diseases,MESH:D005767,DB05973,Inosine 5'-sulfate
Colitis,MESH:D003092,DB05973,Inosine 5'-sulfate
Intestinal Diseases,MESH:D007410,DB05973,Inosine 5'-sulfate
Ulcer,MESH:D014456,DB05973,Inosine 5'-sulfate
Disease,MESH:D004194,DB05973,Inosine 5'-sulfate
Stroke,MESH:D020521,DB05974,Transcrocetinate
Hypoxia,MESH:D000860,DB05974,Transcrocetinate
Hemorrhage,MESH:D006470,DB05974,Transcrocetinate
Multiple Myeloma,MESH:D009101,DB05983,Bardoxolone methyl
Lymphoma,MESH:D008223,DB05983,Bardoxolone methyl
Melanoma,MESH:D008545,DB05984,RAF-265
Fibrosis,MESH:D005355,DB05990,Obeticholic acid
Cholangitis,MESH:D002761,DB05990,Obeticholic acid
Hepatitis,MESH:D006505,DB05990,Obeticholic acid
Obesity,MESH:D009765,DB05993,PRX-07034
Schizophrenia,MESH:D012559,DB05993,PRX-07034
Disease,MESH:D004194,DB05993,PRX-07034
Melanoma,MESH:D008545,DB05996,Glembatumumab vedotin
Arthritis,MESH:D001168,DB05998,T-5224
Thrombosis,MESH:D013927,DB06001,DA-697b
Pain,MESH:D010146,DB06004,TG-C
Osteoarthritis,MESH:D010003,DB06004,TG-C
Arthritis,MESH:D001168,DB06004,TG-C
Coronary Artery Disease,MESH:D003324,DB06005,Adomiparin
Disease,MESH:D004194,DB06005,Adomiparin
Obesity,MESH:D009765,DB06008,ATHX-105
Diabetes Mellitus,MESH:D003920,DB06011,AMG-222
Schizophrenia,MESH:D012559,DB06016,Cariprazine
Atrial Fibrillation,MESH:D001281,DB06020,XEN-D0101
Mesothelioma,MESH:D008654,DB06025,INNO-305
Leukemia,MESH:D007938,DB06025,INNO-305
C SYNDROME,OMIM:211750,DB06025,INNO-305
Obesity,MESH:D009765,DB06027,NGD-4715
Headache,MESH:D006261,DB06029,BF-1
Atherosclerosis,MESH:D050197,DB06037,PR-15
Thrombosis,MESH:D013927,DB06037,PR-15
Sclerosis,MESH:D012598,DB06037,PR-15
Coma,MESH:D003128,DB06043,Olaratumab
Sarcoma,MESH:D012509,DB06043,Olaratumab
Anxiety Disorders,MESH:D001008,DB06044,TC-2216
Rett Syndrome,MESH:D015518,DB06045,Trofinetide
Macular Degeneration,MESH:D008268,DB06048,RTP-801i
Multiple Myeloma,MESH:D009101,DB06049,IPH 2101
Leukemia,MESH:D007938,DB06049,IPH 2101
Atrial Fibrillation,MESH:D001281,DB06050,TB-402
Thrombosis,MESH:D013927,DB06050,TB-402
Macular Degeneration,MESH:D008268,DB06056,POT-4
Hepatitis,MESH:D006505,DB06058,XTL-6865
Acromegaly,MESH:D000172,DB06063,CAM-2029
Reperfusion Injury,MESH:D015427,DB06064,KAI-1455
Amyotrophic Lateral Sclerosis,MESH:D000690,DB06065,AL-02
Sclerosis,MESH:D012598,DB06065,AL-02
Disease,MESH:D004194,DB06073,CTS-21166
Schizophrenia,MESH:D012559,DB06077,Lumateperone
Bipolar Disorder,MESH:D001714,DB06077,Lumateperone
Leukemia,MESH:D007938,DB06080,Linifanib
C SYNDROME,OMIM:211750,DB06080,Linifanib
Anemia,MESH:D000740,DB06081,Caplacizumab
Ischemia,MESH:D007511,DB06081,Caplacizumab
Acute Coronary Syndrome,MESH:D054058,DB06081,Caplacizumab
Thrombosis,MESH:D013927,DB06081,Caplacizumab
Thrombocytopenia,MESH:D013921,DB06081,Caplacizumab
Psoriasis,MESH:D011565,DB06083,Tapinarof
Disease,MESH:D004194,DB06086,Affitope AD01
Epilepsy,MESH:D004827,DB06089,ICA-105665
Headache,MESH:D006261,DB06096,NXN-188
Diabetes Mellitus,MESH:D003920,DB06099,ISIS 325568
Autoimmune Diseases,MESH:D001327,DB06103,VX-148
Psoriasis,MESH:D011565,DB06103,VX-148
Tic Disorders,MESH:D013981,DB06103,VX-148
Disease,MESH:D004194,DB06103,VX-148
Dementia,MESH:D003704,DB06106,AIT-034
Schizophrenia,MESH:D012559,DB06109,YKP-1358
Diabetes Mellitus,MESH:D003920,DB06111,AB192
Fibrosis,MESH:D005355,DB06112,"3,4-Methylenedioxy-N-isopropylamphetamine"
Asthma,MESH:D001249,DB06112,"3,4-Methylenedioxy-N-isopropylamphetamine"
Cystic Fibrosis,MESH:D003550,DB06112,"3,4-Methylenedioxy-N-isopropylamphetamine"
Reperfusion Injury,MESH:D015427,DB06114,PGX-100
Ischemia,MESH:D007511,DB06114,PGX-100
Colitis,MESH:D003092,DB06116,Eldelumab
Ulcer,MESH:D014456,DB06116,Eldelumab
Seizures,MESH:D012640,DB06119,Cenobamate
Diabetes Mellitus,MESH:D003920,DB06127,Bisegliptin
Lymphoma,MESH:D008223,DB06130,FAV-201
Alopecia,MESH:D000505,DB06133,Dimethylcurcumin
Keratosis,MESH:D007642,DB06137,Tirbanibulin
Macular Degeneration,MESH:D008268,DB06139,JSM 6427
Rhinitis,MESH:D012220,DB06143,Aminoimidazole carboxamide
Schizophrenia,MESH:D012559,DB06144,Sertindole
Infections,MESH:D007239,DB06145,Spiramycin
Infections,MESH:D007239,DB06149,Teicoplanin
Bacterial Infections,MESH:D001424,DB06149,Teicoplanin
Infections,MESH:D007239,DB06150,Sulfadimethoxine
Phlebitis,MESH:D010689,DB06152,Nylidrin
Arteriosclerosis,MESH:D001161,DB06152,Nylidrin
Disease,MESH:D004194,DB06152,Nylidrin
Sclerosis,MESH:D012598,DB06152,Nylidrin
Angina Pectoris,MESH:D000787,DB06154,Pentaerythritol tetranitrate
Obesity,MESH:D009765,DB06156,Tesofensine
Disease,MESH:D004194,DB06156,Tesofensine
Disease,MESH:D004194,DB06157,Istaroxime
Melanoma,MESH:D008545,DB06159,Rubitecan
Leukemia,MESH:D007938,DB06159,Rubitecan
Infections,MESH:D007239,DB06161,Opebacan
Disease,MESH:D004194,DB06161,Opebacan
Burns,MESH:D002056,DB06161,Opebacan
Asthma,MESH:D001249,DB06162,Lumiliximab
Leukemia,MESH:D007938,DB06162,Lumiliximab
Infections,MESH:D007239,DB06166,Fosdevirine
Gout,MESH:D006073,DB06168,Canakinumab
Necrosis,MESH:D009336,DB06168,Canakinumab
Fever,MESH:D005334,DB06168,Canakinumab
Arthritis,MESH:D001168,DB06168,Canakinumab
C SYNDROME,OMIM:211750,DB06168,Canakinumab
Disease,MESH:D004194,DB06168,Canakinumab
Mevalonate Kinase Deficiency,MESH:D054078,DB06168,Canakinumab
Familial Mediterranean Fever,MESH:D010505,DB06168,Canakinumab
Multiple Myeloma,MESH:D009101,DB06174,Noscapine
Leukemia,MESH:D007938,DB06174,Noscapine
Lymphoma,MESH:D008223,DB06174,Noscapine
Pain,MESH:D010146,DB06175,TGAAC94
Arthritis,MESH:D001168,DB06175,TGAAC94
Lymphoma,MESH:D008223,DB06176,Romidepsin
Coma,MESH:D003128,DB06177,Glufosfamide
Sarcoma,MESH:D012509,DB06177,Glufosfamide
Leukemia,MESH:D007938,DB06178,Talotrexin
Multiple Myeloma,MESH:D009101,DB06179,Darinaparsin
Melanoma,MESH:D008545,DB06180,TG1024
Carcinoma,MESH:D002277,DB06181,EMD-1201081
Melanoma,MESH:D008545,DB06182,Talabostat
Leukemia,MESH:D007938,DB06182,Talabostat
Lymphoma,MESH:D008223,DB06182,Talabostat
Leukemia,MESH:D007938,DB06184,AEG35156
Leukemia,MESH:D007938,DB06185,Forodesine
Lymphoma,MESH:D008223,DB06185,Forodesine
Carcinoma,MESH:D002277,DB06186,Ipilimumab
Melanoma,MESH:D008545,DB06186,Ipilimumab
Esophageal Squamous Cell Carcinoma,MESH:D000077277,DB06186,Ipilimumab
Microsatellite Instability,MESH:D053842,DB06186,Ipilimumab
Mesothelioma,MESH:D008654,DB06186,Ipilimumab
Hepatitis,MESH:D006505,DB06187,Valtorcitabine
Carcinoma,MESH:D002277,DB06188,Ispinesib
Diabetes Mellitus,MESH:D003920,DB06190,Solabegron
Irritable Bowel Syndrome,MESH:D043183,DB06190,Solabegron
Leukemia,MESH:D007938,DB06191,Zosuquidar
C SYNDROME,OMIM:211750,DB06191,Zosuquidar
Heart Failure,MESH:D006333,DB06193,Pixantrone
Leukemia,MESH:D007938,DB06193,Pixantrone
Lymphoma,MESH:D008223,DB06193,Pixantrone
Hyperplasia,MESH:D006965,DB06194,Elocalcitol
Infertility,MESH:D007246,DB06194,Elocalcitol
Prostatic Hyperplasia,MESH:D011470,DB06194,Elocalcitol
Multiple Myeloma,MESH:D009101,DB06195,Seliciclib
Leukemia,MESH:D007938,DB06195,Seliciclib
Lymphoma,MESH:D008223,DB06195,Seliciclib
Edema,MESH:D004487,DB06196,Icatibant
Angioedema,MESH:D000799,DB06196,Icatibant
Dermatitis,MESH:D003872,DB06197,Bimosiamose
Asthma,MESH:D001249,DB06197,Bimosiamose
Psoriasis,MESH:D011565,DB06197,Bimosiamose
Tic Disorders,MESH:D013981,DB06197,Bimosiamose
Disease,MESH:D004194,DB06197,Bimosiamose
Atrial Fibrillation,MESH:D001281,DB06200,Tedisamil
Seizures,MESH:D012640,DB06201,Rufinamide
Osteoporosis,MESH:D010024,DB06202,Lasofoxifene
Atrophy,MESH:D001284,DB06202,Lasofoxifene
Diabetes Mellitus,MESH:D003920,DB06203,Alogliptin
Pain,MESH:D010146,DB06204,Tapentadol
Body Weight,MESH:D001835,DB06204,Tapentadol
Hyperplasia,MESH:D006965,DB06207,Silodosin
Hypertension,MESH:D006973,DB06207,Silodosin
Prostatic Hyperplasia,MESH:D011470,DB06207,Silodosin
Signs and Symptoms,MESH:D012816,DB06207,Silodosin
Stroke,MESH:D020521,DB06209,Prasugrel
Myocardial Infarction,MESH:D009203,DB06209,Prasugrel
Acute Coronary Syndrome,MESH:D054058,DB06209,Prasugrel
Infarction,MESH:D007238,DB06209,Prasugrel
ST Elevation Myocardial Infarction,MESH:D000072657,DB06209,Prasugrel
Nephritis,MESH:D009393,DB06211,Doripenem
Infections,MESH:D007239,DB06211,Doripenem
Urinary Tract Infections,MESH:D014552,DB06211,Doripenem
Pyelonephritis,MESH:D011704,DB06211,Doripenem
Heart Failure,MESH:D006333,DB06212,Tolvaptan
Hyponatremia,MESH:D007010,DB06212,Tolvaptan
Anemia,MESH:D000740,DB06215,Ferumoxytol
Disease,MESH:D004194,DB06215,Ferumoxytol
Schizophrenia,MESH:D012559,DB06216,Asenapine
Bipolar Disorder,MESH:D001714,DB06216,Asenapine
Atrial Fibrillation,MESH:D001281,DB06217,Vernakalant
Seizures,MESH:D012640,DB06218,Lacosamide
Infections,MESH:D007239,DB06219,Dalbavancin
Colitis,MESH:D003092,DB06224,Alicaforsen
Ulcer,MESH:D014456,DB06224,Alicaforsen
Disease,MESH:D004194,DB06224,Alicaforsen
Asthma,MESH:D001249,DB06225,HMR4011
Coronary Artery Disease,MESH:D003324,DB06228,Rivaroxaban
Stroke,MESH:D020521,DB06228,Rivaroxaban
Atrial Fibrillation,MESH:D001281,DB06228,Rivaroxaban
Thrombosis,MESH:D013927,DB06228,Rivaroxaban
Pulmonary Embolism,MESH:D011655,DB06228,Rivaroxaban
Disease,MESH:D004194,DB06228,Rivaroxaban
Embolism,MESH:D004617,DB06228,Rivaroxaban
Schizophrenia,MESH:D012559,DB06229,Ocaperidone
Myocardial Infarction,MESH:D009203,DB06231,Caldaret
Infarction,MESH:D007238,DB06231,Caldaret
Disease,MESH:D004194,DB06231,Caldaret
Coma,MESH:D003128,DB06233,Ridaforolimus
Sarcoma,MESH:D012509,DB06233,Ridaforolimus
Hepatitis,MESH:D006505,DB06236,Elvucitabine
Erectile Dysfunction,MESH:D007172,DB06237,Avanafil
Carcinoma,MESH:D002277,DB06239,Tipapkinogene sovacivec
Arthritis,MESH:D001168,DB06241,Clenoliximab
Neuroblastoma,MESH:D009447,DB06243,Eflornithine
Hirsutism,MESH:D006628,DB06243,Eflornithine
Coronary Artery Disease,MESH:D003324,DB06244,Trafermin
Ulcer,MESH:D014456,DB06244,Trafermin
Disease,MESH:D004194,DB06244,Trafermin
Myocardial Infarction,MESH:D009203,DB06245,Lanoteplase
Infarction,MESH:D007238,DB06245,Lanoteplase
Adenoma,MESH:D000236,DB06246,Exisulind
Adenomatous Polyposis Coli,MESH:D011125,DB06246,Exisulind
Disease,MESH:D004194,DB06246,Exisulind
Polyps,MESH:D011127,DB06246,Exisulind
Schizophrenia,MESH:D012559,DB06247,CX516
Dementia,MESH:D003704,DB06247,CX516
Disease,MESH:D004194,DB06247,CX516
Fibrosis,MESH:D005355,DB06248,Amelubant
Asthma,MESH:D001249,DB06248,Amelubant
Arthritis,MESH:D001168,DB06248,Amelubant
Cystic Fibrosis,MESH:D003550,DB06248,Amelubant
Disease,MESH:D004194,DB06248,Amelubant
Osteoporosis,MESH:D010024,DB06249,Arzoxifene
Obesity,MESH:D009765,DB06250,Fluasterone
Psoriasis,MESH:D011565,DB06250,Fluasterone
Tic Disorders,MESH:D013981,DB06250,Fluasterone
Disease,MESH:D004194,DB06250,Fluasterone
Disease,MESH:D004194,DB06251,Dersalazine
Rhinitis,MESH:D012220,DB06252,R112
Diabetes Mellitus,MESH:D003920,DB06253,Thioctic acid tromethamine
Vascular Diseases,MESH:D014652,DB06253,Thioctic acid tromethamine
Disease,MESH:D004194,DB06253,Thioctic acid tromethamine
Leukemia,MESH:D007938,DB06255,Incadronic acid
Hypercalcemia,MESH:D006934,DB06255,Incadronic acid
Reperfusion Injury,MESH:D015427,DB06256,rPSGL-Ig
Myocardial Infarction,MESH:D009203,DB06256,rPSGL-Ig
Anemia,MESH:D000740,DB06256,rPSGL-Ig
Infarction,MESH:D007238,DB06256,rPSGL-Ig
Autoimmune Diseases,MESH:D001327,DB06257,HE-2200
Hepatitis,MESH:D006505,DB06257,HE-2200
Disease,MESH:D004194,DB06257,HE-2200
Hypotension,MESH:D007022,DB06262,Droxidopa
Atrophy,MESH:D001284,DB06262,Droxidopa
Multiple System Atrophy,MESH:D019578,DB06262,Droxidopa
Disease,MESH:D004194,DB06262,Droxidopa
Pain,MESH:D010146,DB06264,Tolperisone
Multiple Sclerosis,MESH:D009103,DB06264,Tolperisone
Spinal Cord Injuries,MESH:D013119,DB06264,Tolperisone
Spasm,MESH:D013035,DB06264,Tolperisone
Sclerosis,MESH:D012598,DB06264,Tolperisone
Back Pain,MESH:D001416,DB06264,Tolperisone
Hyperplasia,MESH:D006965,DB06266,Lonidamine
Prostatic Hyperplasia,MESH:D011470,DB06266,Lonidamine
Hypertension,MESH:D006973,DB06267,Udenafil
Erectile Dysfunction,MESH:D007172,DB06267,Udenafil
Hypertension,MESH:D006973,DB06268,Sitaxentan
Heart Failure,MESH:D006333,DB06268,Sitaxentan
